                   0 a =     x, b =     x, cin = x, s =     x, cout = x
                  10 a = 16687, b =  3597, cin = 1, s =     x, cout = x
                  11 a = 16687, b =  3597, cin = 1, s =     X, cout = x
                  13 a = 16687, b =  3597, cin = 1, s =     X, cout = 0
                  14 a = 16687, b =  3597, cin = 1, s =     X, cout = 0
                  16 a = 16687, b =  3597, cin = 1, s = 20285, cout = 0
                  20 a = 14642, b = 25400, cin = 1, s = 20285, cout = 0
                  21 a = 14642, b = 25400, cin = 1, s = 23061, cout = 0
                  23 a = 14642, b = 25400, cin = 1, s =  6255, cout = 0
                  24 a = 14642, b = 25400, cin = 1, s = 40043, cout = 0
                  30 a = 29923, b = 60414, cin = 1, s = 40043, cout = 0
                  31 a = 29923, b = 60414, cin = 1, s = 22908, cout = 0
                  33 a = 29923, b = 60414, cin = 1, s = 23256, cout = 1
                  34 a = 29923, b = 60414, cin = 1, s = 24258, cout = 1
                  35 a = 29923, b = 60414, cin = 1, s = 16578, cout = 1
                  36 a = 29923, b = 60414, cin = 1, s = 16610, cout = 1
                  37 a = 29923, b = 60414, cin = 1, s = 24802, cout = 1
                  40 a = 18974, b = 64900, cin = 1, s = 24802, cout = 1
                  41 a = 18974, b = 64900, cin = 1, s = 18533, cout = 1
                  43 a = 18974, b = 64900, cin = 1, s =  2465, cout = 1
                  44 a = 18974, b = 64900, cin = 1, s = 18851, cout = 1
                  45 a = 18974, b = 64900, cin = 1, s = 18339, cout = 1
                  50 a =  3642, b =  1722, cin = 0, s = 18339, cout = 1
                  51 a =  3642, b =  1722, cin = 0, s = 63672, cout = 1
                  53 a =  3642, b =  1722, cin = 0, s = 25844, cout = 0
                  54 a =  3642, b =  1722, cin = 0, s =  5364, cout = 0
                  60 a = 34114, b = 54843, cin = 0, s =  5364, cout = 0
                  61 a = 34114, b = 54843, cin = 0, s = 20237, cout = 0
                  62 a = 34114, b = 54843, cin = 0, s = 20237, cout = 1
                  63 a = 34114, b = 54843, cin = 0, s = 19325, cout = 1
                  64 a = 34114, b = 54843, cin = 0, s = 31645, cout = 1
                  65 a = 34114, b = 54843, cin = 0, s = 31613, cout = 1
                  66 a = 34114, b = 54843, cin = 0, s = 23421, cout = 1
                  70 a = 15634, b = 49945, cin = 1, s = 23421, cout = 1
                  71 a = 15634, b = 49945, cin = 1, s = 62990, cout = 1
                  72 a = 15634, b = 49945, cin = 1, s = 62990, cout = 0
                  73 a = 15634, b = 49945, cin = 1, s = 64552, cout = 0
                  74 a = 15634, b = 49945, cin = 1, s = 57388, cout = 0
                  75 a = 15634, b = 49945, cin = 1, s = 57388, cout = 1
                  76 a = 15634, b = 49945, cin = 1, s =    44, cout = 1
                  80 a = 33270, b = 19719, cin = 1, s =    44, cout = 1
                  81 a = 33270, b = 19719, cin = 1, s = 13014, cout = 1
                  83 a = 33270, b = 19719, cin = 1, s = 13054, cout = 0
                  84 a = 33270, b = 19719, cin = 1, s = 52990, cout = 0
                  90 a = 32910, b = 60722, cin = 0, s = 52990, cout = 0
                  91 a = 32910, b = 60722, cin = 0, s = 28594, cout = 0
                  92 a = 32910, b = 60722, cin = 0, s = 28594, cout = 1
                  93 a = 32910, b = 60722, cin = 0, s = 28088, cout = 1
                  94 a = 32910, b = 60722, cin = 0, s = 28064, cout = 1
                  96 a = 32910, b = 60722, cin = 0, s = 28096, cout = 1
                 100 a = 10070, b = 50511, cin = 1, s = 28096, cout = 1
                 101 a = 10070, b = 50511, cin = 1, s = 57956, cout = 1
                 102 a = 10070, b = 50511, cin = 1, s = 57956, cout = 0
                 103 a = 10070, b = 50511, cin = 1, s = 59620, cout = 0
                 104 a = 10070, b = 50511, cin = 1, s = 60582, cout = 0
                 110 a =  5154, b =  1662, cin = 1, s = 60582, cout = 0
                 111 a =  5154, b =  1662, cin = 1, s =  7395, cout = 0
                 113 a =  5154, b =  1662, cin = 1, s =  7723, cout = 0
                 114 a =  5154, b =  1662, cin = 1, s =  6817, cout = 0
                 120 a = 31951, b = 58193, cin = 1, s =  6817, cout = 0
                 121 a = 31951, b = 58193, cin = 1, s = 38755, cout = 0
                 123 a = 31951, b = 58193, cin = 1, s = 24357, cout = 1
                 124 a = 31951, b = 58193, cin = 1, s = 24097, cout = 1
                 126 a = 31951, b = 58193, cin = 1, s = 16417, cout = 1
                 128 a = 31951, b = 58193, cin = 1, s = 24609, cout = 1
                 130 a =  8309, b = 18116, cin = 1, s = 24609, cout = 1
                 131 a =  8309, b = 18116, cin = 1, s = 39182, cout = 1
                 133 a =  8309, b = 18116, cin = 1, s = 22796, cout = 0
                 134 a =  8309, b = 18116, cin = 1, s = 26458, cout = 0
                 136 a =  8309, b = 18116, cin = 1, s = 26426, cout = 0
                 140 a = 38534, b = 37091, cin = 1, s = 26426, cout = 0
                 141 a = 38534, b = 37091, cin = 1, s =  2030, cout = 0
                 142 a = 38534, b = 37091, cin = 1, s =  2030, cout = 1
                 143 a = 38534, b = 37091, cin = 1, s = 10082, cout = 1
                 144 a = 38534, b = 37091, cin = 1, s = 10090, cout = 1
                 150 a = 25539, b = 17085, cin = 0, s = 10090, cout = 1
                 151 a = 25539, b = 17085, cin = 0, s =   112, cout = 1
                 152 a = 25539, b = 17085, cin = 0, s =   112, cout = 0
                 153 a = 25539, b = 17085, cin = 0, s = 42100, cout = 0
                 154 a = 25539, b = 17085, cin = 0, s = 42592, cout = 0
                 156 a = 25539, b = 17085, cin = 0, s = 42624, cout = 0
                 160 a = 33313, b = 27551, cin = 1, s = 42624, cout = 0
                 161 a = 33313, b = 27551, cin = 1, s = 28225, cout = 0
                 163 a = 33313, b = 27551, cin = 1, s = 61249, cout = 0
                 164 a = 33313, b = 27551, cin = 1, s = 61377, cout = 0
                 165 a = 33313, b = 27551, cin = 1, s = 60865, cout = 0
                 170 a = 44077, b = 43186, cin = 0, s = 60865, cout = 0
                 171 a = 44077, b = 43186, cin = 0, s =   225, cout = 0
                 172 a = 44077, b = 43186, cin = 0, s =   225, cout = 1
                 173 a = 44077, b = 43186, cin = 0, s = 21731, cout = 1
                 174 a = 44077, b = 43186, cin = 0, s = 21759, cout = 1
                 176 a = 44077, b = 43186, cin = 0, s = 21727, cout = 1
                 180 a = 40436, b =  6456, cin = 1, s = 21727, cout = 1
                 181 a = 40436, b =  6456, cin = 1, s = 54413, cout = 1
                 182 a = 40436, b =  6456, cin = 1, s = 54413, cout = 0
                 183 a = 40436, b =  6456, cin = 1, s = 46771, cout = 0
                 184 a = 40436, b =  6456, cin = 1, s = 46893, cout = 0
                 190 a =  9757, b = 15719, cin = 1, s = 46893, cout = 0
                 191 a =  9757, b = 15719, cin = 1, s = 10395, cout = 0
                 193 a =  9757, b = 15719, cin = 1, s = 21233, cout = 0
                 194 a =  9757, b = 15719, cin = 1, s = 25957, cout = 0
                 195 a =  9757, b = 15719, cin = 1, s = 17765, cout = 0
                 196 a =  9757, b = 15719, cin = 1, s = 25477, cout = 0
                 200 a = 10837, b = 25789, cin = 1, s = 25477, cout = 0
                 201 a = 10837, b = 25789, cin = 1, s = 13847, cout = 0
                 203 a = 10837, b = 25789, cin = 1, s = 15895, cout = 0
                 204 a = 10837, b = 25789, cin = 1, s = 36627, cout = 0
                 210 a = 58799, b =  7296, cin = 1, s = 36627, cout = 0
                 211 a = 58799, b =  7296, cin = 1, s = 14548, cout = 0
                 213 a = 58799, b =  7296, cin = 1, s = 28926, cout = 0
