                   0 a =     x, b =     x, cin = x, s =     x, cout = x
                  10 a = 16687, b =  3597, cin = 1, s = 20285, cout = 0
                  20 a = 14642, b = 25400, cin = 1, s = 40043, cout = 0
                  30 a = 29923, b = 60414, cin = 1, s = 24802, cout = 1
                  40 a = 18974, b = 64900, cin = 1, s = 18339, cout = 1
                  50 a =  3642, b =  1722, cin = 0, s =  5364, cout = 0
                  60 a = 34114, b = 54843, cin = 0, s = 23421, cout = 1
                  70 a = 15634, b = 49945, cin = 1, s =    44, cout = 1
                  80 a = 33270, b = 19719, cin = 1, s = 52990, cout = 0
                  90 a = 32910, b = 60722, cin = 0, s = 28096, cout = 1
                 100 a = 10070, b = 50511, cin = 1, s = 60582, cout = 0
                 110 a =  5154, b =  1662, cin = 1, s =  6817, cout = 0
                 120 a = 31951, b = 58193, cin = 1, s = 24609, cout = 1
                 130 a =  8309, b = 18116, cin = 1, s = 26426, cout = 0
                 140 a = 38534, b = 37091, cin = 1, s = 10090, cout = 1
                 150 a = 25539, b = 17085, cin = 0, s = 42624, cout = 0
                 160 a = 33313, b = 27551, cin = 1, s = 60865, cout = 0
                 170 a = 44077, b = 43186, cin = 0, s = 21727, cout = 1
                 180 a = 40436, b =  6456, cin = 1, s = 46893, cout = 0
                 190 a =  9757, b = 15719, cin = 1, s = 25477, cout = 0
                 200 a = 10837, b = 25789, cin = 1, s = 36627, cout = 0
                 210 a = 58799, b =  7296, cin = 1, s =   560, cout = 1
                 220 a = 40358, b = 15599, cin = 0, s = 55957, cout = 0
                 230 a = 47317, b =   260, cin = 1, s = 47578, cout = 0
                 240 a =  1858, b = 38794, cin = 0, s = 40652, cout = 0
                 250 a = 36019, b = 64333, cin = 1, s = 34817, cout = 1
                 260 a = 48255, b = 27646, cin = 1, s = 10366, cout = 1
                 270 a = 21686, b = 48075, cin = 1, s =  4226, cout = 1
                 280 a = 45062, b = 64863, cin = 1, s = 44390, cout = 1
                 290 a = 64509, b =  4621, cin = 0, s =  3594, cout = 1
                 300 a =  4679, b = 61810, cin = 0, s =   953, cout = 1
                 310 a = 19008, b = 26961, cin = 0, s = 45969, cout = 0
                 320 a = 53239, b =  1783, cin = 1, s = 55023, cout = 0
                 330 a =  5664, b = 20988, cin = 0, s = 26652, cout = 0
                 340 a = 22557, b = 18382, cin = 0, s = 40939, cout = 0
                 350 a =  6541, b = 54402, cin = 0, s = 60943, cout = 0
                 360 a = 53962, b =  9009, cin = 0, s = 62971, cout = 0
                 370 a = 58935, b =  7048, cin = 0, s =   447, cout = 1
                 380 a = 37094, b = 28462, cin = 1, s =    21, cout = 1
                 390 a =  2526, b = 22972, cin = 0, s = 25498, cout = 0
                 400 a = 21100, b = 27651, cin = 1, s = 48752, cout = 0
                 410 a = 46280, b = 23011, cin = 0, s =  3755, cout = 1
                 420 a =  8756, b = 52602, cin = 0, s = 61358, cout = 0
                 430 a = 33184, b = 58266, cin = 0, s = 25914, cout = 1
                 440 a = 57872, b = 10823, cin = 1, s =  3160, cout = 1
                 450 a = 51354, b = 63716, cin = 1, s = 49535, cout = 1
                 460 a = 39170, b = 47679, cin = 0, s = 21313, cout = 1
                 470 a =  7337, b = 36614, cin = 0, s = 43951, cout = 0
                 480 a = 47227, b = 50061, cin = 1, s = 31753, cout = 1
                 490 a = 58332, b = 24475, cin = 1, s = 17272, cout = 1
                 500 a = 50411, b = 21927, cin = 0, s =  6802, cout = 1
                 510 a = 10652, b =  2672, cin = 1, s = 13325, cout = 0
                 520 a =  2318, b =  6964, cin = 1, s =  9283, cout = 0
                 530 a = 52376, b = 16500, cin = 0, s =  3340, cout = 1
                 540 a = 34239, b =  4372, cin = 1, s = 38612, cout = 0
                 550 a = 34484, b = 55727, cin = 0, s = 24675, cout = 1
                 560 a = 65483, b =  1249, cin = 1, s =  1197, cout = 1
                 570 a = 35491, b =  8586, cin = 1, s = 44078, cout = 0
                 580 a = 35252, b = 55813, cin = 0, s = 25529, cout = 1
                 590 a = 63475, b = 20498, cin = 1, s = 18438, cout = 1
                 600 a = 21022, b =   909, cin = 1, s = 21932, cout = 0
                 610 a =  6220, b = 11561, cin = 1, s = 17782, cout = 0
                 620 a = 60781, b =  9415, cin = 1, s =  4661, cout = 1
                 630 a = 27944, b = 38144, cin = 0, s =   552, cout = 1
                 640 a = 29726, b =  2383, cin = 0, s = 32109, cout = 0
                 650 a = 18684, b = 36867, cin = 1, s = 55552, cout = 0
                 660 a = 47710, b = 32350, cin = 1, s = 14525, cout = 1
                 670 a = 54415, b = 44193, cin = 1, s = 33073, cout = 1
                 680 a =  4086, b =  9445, cin = 1, s = 13532, cout = 0
                 690 a =  3819, b = 49272, cin = 1, s = 53092, cout = 0
                 700 a =  4378, b =   294, cin = 0, s =  4672, cout = 0
                 710 a = 26865, b =  6514, cin = 1, s = 33380, cout = 0
                 720 a = 47560, b = 43647, cin = 0, s = 25671, cout = 1
                 730 a = 51572, b = 47944, cin = 0, s = 33980, cout = 1
                 740 a = 48436, b =  7670, cin = 1, s = 56107, cout = 0
                 750 a = 49672, b =  2706, cin = 0, s = 52378, cout = 0
                 760 a = 36636, b = 26768, cin = 0, s = 63404, cout = 0
                 770 a =  1201, b = 11183, cin = 0, s = 12384, cout = 0
                 780 a =  2464, b = 15270, cin = 1, s = 17735, cout = 0
                 790 a =  3317, b = 65441, cin = 0, s =  3222, cout = 1
                 800 a = 29132, b =  4283, cin = 0, s = 33415, cout = 0
                 810 a = 32208, b =  3037, cin = 1, s = 35246, cout = 0
                 820 a = 23197, b = 50597, cin = 0, s =  8258, cout = 1
                 830 a = 23602, b =  8521, cin = 0, s = 32123, cout = 0
                 840 a = 38502, b = 33309, cin = 1, s =  6276, cout = 1
                 850 a = 32138, b = 12982, cin = 1, s = 45121, cout = 0
                 860 a = 62640, b = 25970, cin = 0, s = 23074, cout = 1
                 870 a = 55493, b = 27171, cin = 1, s = 17129, cout = 1
                 880 a =  3355, b =  1523, cin = 1, s =  4879, cout = 0
                 890 a =  2550, b =  4841, cin = 0, s =  7391, cout = 0
                 900 a = 46554, b = 10325, cin = 0, s = 56879, cout = 0
                 910 a = 25317, b = 42534, cin = 1, s =  2316, cout = 1
                 920 a = 56946, b =   195, cin = 0, s = 57141, cout = 0
                 930 a = 62222, b =   149, cin = 0, s = 62371, cout = 0
                 940 a = 45443, b = 10540, cin = 1, s = 55984, cout = 0
                 950 a = 59038, b = 42678, cin = 1, s = 36181, cout = 1
                 960 a = 28987, b = 11670, cin = 1, s = 40658, cout = 0
                 970 a =  2057, b = 43515, cin = 0, s = 45572, cout = 0
                 980 a = 32663, b = 42406, cin = 0, s =  9533, cout = 1
                 990 a =  8538, b = 16845, cin = 1, s = 25384, cout = 0
                1000 a = 49855, b = 63399, cin = 0, s = 47718, cout = 1
                1010 a =  1807, b = 18716, cin = 0, s = 20523, cout = 0
                1020 a = 17868, b = 52014, cin = 0, s =  4346, cout = 1
                1030 a = 65342, b = 20589, cin = 1, s = 20396, cout = 1
                1040 a = 27690, b = 42384, cin = 1, s =  4539, cout = 1
                1050 a = 23348, b = 31422, cin = 1, s = 54771, cout = 0
                1060 a = 31987, b = 36761, cin = 0, s =  3212, cout = 1
                1070 a = 42949, b = 38819, cin = 1, s = 16233, cout = 1
                1080 a = 11081, b = 47834, cin = 0, s = 58915, cout = 0
                1090 a = 27089, b = 56372, cin = 1, s = 17926, cout = 1
                1100 a = 47938, b = 36227, cin = 0, s = 18629, cout = 1
                1110 a =  9113, b =  9922, cin = 1, s = 19036, cout = 0
                1120 a = 12821, b =  4142, cin = 1, s = 16964, cout = 0
                1130 a = 58613, b = 45837, cin = 0, s = 38914, cout = 1
                1140 a =  6443, b =  3527, cin = 0, s =  9970, cout = 0
                1150 a = 34812, b =  3227, cin = 0, s = 38039, cout = 0
                1160 a = 12212, b = 11567, cin = 0, s = 23779, cout = 0
                1170 a = 24930, b = 54516, cin = 1, s = 13911, cout = 1
                1180 a = 57515, b = 41949, cin = 1, s = 33929, cout = 1
                1190 a = 38859, b =  3503, cin = 1, s = 42363, cout = 0
                1200 a = 37048, b = 46977, cin = 1, s = 18490, cout = 1
                1210 a = 28637, b = 32442, cin = 1, s = 61080, cout = 0
                1220 a = 15294, b = 45264, cin = 0, s = 60558, cout = 0
                1230 a = 53965, b = 10229, cin = 1, s = 64195, cout = 0
                1240 a = 43226, b = 63024, cin = 0, s = 40714, cout = 1
                1250 a = 51222, b = 27837, cin = 0, s = 13523, cout = 1
                1260 a = 44289, b = 40049, cin = 1, s = 18803, cout = 1
                1270 a =  4117, b = 41331, cin = 1, s = 45449, cout = 0
                1280 a = 25468, b =  5198, cin = 0, s = 30666, cout = 0
                1290 a = 48301, b = 20410, cin = 1, s =  3176, cout = 1
                1300 a = 33858, b = 57458, cin = 1, s = 25781, cout = 1
                1310 a = 55643, b = 62447, cin = 1, s = 52555, cout = 1
                1320 a = 40055, b =  7741, cin = 1, s = 47797, cout = 0
                1330 a = 52257, b = 38059, cin = 1, s = 24781, cout = 1
                1340 a = 16648, b = 11285, cin = 1, s = 27934, cout = 0
                1350 a = 30918, b = 62507, cin = 0, s = 27889, cout = 1
                1360 a =  2064, b = 13148, cin = 1, s = 15213, cout = 0
                1370 a = 31129, b = 63617, cin = 0, s = 29210, cout = 1
                1380 a = 21062, b = 19085, cin = 1, s = 40148, cout = 0
                1390 a = 52945, b =  1850, cin = 1, s = 54796, cout = 0
                1400 a = 60218, b =  7597, cin = 1, s =  2280, cout = 1
                1410 a = 20821, b = 39592, cin = 1, s = 60414, cout = 0
                1420 a = 13867, b =  9647, cin = 0, s = 23514, cout = 0
                1430 a = 28528, b = 38256, cin = 1, s =  1249, cout = 1
                1440 a = 29771, b = 54904, cin = 0, s = 19139, cout = 1
                1450 a = 24039, b = 15823, cin = 0, s = 39862, cout = 0
                1460 a = 22495, b = 64239, cin = 0, s = 21198, cout = 1
                1470 a = 37353, b = 25369, cin = 0, s = 62722, cout = 0
                1480 a =  4357, b = 22783, cin = 1, s = 27141, cout = 0
                1490 a = 37632, b =  5728, cin = 0, s = 43360, cout = 0
                1500 a =  2133, b =   411, cin = 1, s =  2545, cout = 0
                1510 a =   445, b = 16768, cin = 1, s = 17214, cout = 0
                1520 a = 61204, b =  6987, cin = 1, s =  2656, cout = 1
                1530 a = 59704, b = 35516, cin = 1, s = 29685, cout = 1
                1540 a =  2616, b = 65287, cin = 0, s =  2367, cout = 1
                1550 a = 26812, b =   142, cin = 1, s = 26955, cout = 0
                1560 a = 19868, b = 64526, cin = 0, s = 18858, cout = 1
                1570 a = 26073, b =  8231, cin = 1, s = 34305, cout = 0
                1580 a = 25895, b =  8124, cin = 1, s = 34020, cout = 0
                1590 a = 21154, b = 22109, cin = 1, s = 43264, cout = 0
                1600 a = 13800, b =   594, cin = 0, s = 14394, cout = 0
                1610 a = 60395, b = 47391, cin = 1, s = 42251, cout = 1
                1620 a =  6583, b = 38595, cin = 0, s = 45178, cout = 0
                1630 a = 32418, b =  4652, cin = 0, s = 37070, cout = 0
                1640 a = 26509, b =  7268, cin = 0, s = 33777, cout = 0
                1650 a = 51857, b = 10432, cin = 0, s = 62289, cout = 0
                1660 a = 23028, b = 30301, cin = 0, s = 53329, cout = 0
                1670 a = 34791, b = 32726, cin = 1, s =  1982, cout = 1
                1680 a =  1922, b = 34973, cin = 0, s = 36895, cout = 0
                1690 a = 38189, b = 56127, cin = 1, s = 28781, cout = 1
                1700 a = 10185, b = 46280, cin = 1, s = 56466, cout = 0
                1710 a = 24479, b = 13027, cin = 1, s = 37507, cout = 0
                1720 a = 31894, b = 19610, cin = 0, s = 51504, cout = 0
                1730 a = 46297, b = 28380, cin = 0, s =  9141, cout = 1
                1740 a =  2567, b = 54890, cin = 0, s = 57457, cout = 0
                1750 a = 24125, b = 36747, cin = 1, s = 60873, cout = 0
                1760 a = 17714, b = 36128, cin = 0, s = 53842, cout = 0
                1770 a =  5828, b =   919, cin = 0, s =  6747, cout = 0
                1780 a = 48526, b = 49193, cin = 1, s = 32184, cout = 1
                1790 a = 29348, b = 63735, cin = 0, s = 27547, cout = 1
                1800 a =  8631, b =  3920, cin = 0, s = 12551, cout = 0
                1810 a = 58508, b =  4751, cin = 0, s = 63259, cout = 0
                1820 a = 62129, b = 36646, cin = 0, s = 33239, cout = 1
                1830 a = 34346, b = 59295, cin = 1, s = 28106, cout = 1
                1840 a = 11214, b = 61862, cin = 1, s =  7541, cout = 1
                1850 a = 41703, b = 62340, cin = 0, s = 38507, cout = 1
                1860 a = 58976, b = 10054, cin = 0, s =  3494, cout = 1
                1870 a = 36550, b = 62234, cin = 1, s = 33249, cout = 1
                1880 a = 23202, b = 40760, cin = 1, s = 63963, cout = 0
                1890 a = 44827, b = 46460, cin = 0, s = 25751, cout = 1
                1900 a = 28931, b = 55091, cin = 0, s = 18486, cout = 1
                1910 a = 35668, b = 19952, cin = 1, s = 55621, cout = 0
                1920 a = 31784, b = 12081, cin = 1, s = 43866, cout = 0
                1930 a = 47510, b = 46427, cin = 0, s = 28401, cout = 1
                1940 a = 21617, b = 57642, cin = 1, s = 13724, cout = 1
                1950 a =  3318, b =  5697, cin = 1, s =  9016, cout = 0
                1960 a = 21767, b = 64673, cin = 1, s = 20905, cout = 1
                1970 a = 52695, b =  7575, cin = 1, s = 60271, cout = 0
                1980 a = 14543, b = 30777, cin = 0, s = 45320, cout = 0
                1990 a =  1936, b =  5604, cin = 0, s =  7540, cout = 0
                2000 a = 53064, b = 34535, cin = 0, s = 22063, cout = 1
                2010 a = 14464, b = 46555, cin = 0, s = 61019, cout = 0
                2020 a = 50615, b =  8339, cin = 1, s = 58955, cout = 0
                2030 a =  6117, b = 55850, cin = 1, s = 61968, cout = 0
