                   0 a=    x, b=    x, c=x, s=    x, cout=x
                  10 a=16687, b= 3597, c=1, s=    x, cout=x
                  12 a=16687, b= 3597, c=1, s=    X, cout=0
                  13 a=16687, b= 3597, c=1, s=    X, cout=0
                  15 a=16687, b= 3597, c=1, s=    X, cout=0
                  17 a=16687, b= 3597, c=1, s=    X, cout=0
                  19 a=16687, b= 3597, c=1, s=    X, cout=0
                  20 a=14642, b=25400, c=1, s=    X, cout=0
                  21 a=14642, b=25400, c=1, s=20285, cout=0
                  22 a=14642, b=25400, c=1, s=23061, cout=0
                  23 a=14642, b=25400, c=1, s= 6271, cout=0
                  25 a=14642, b=25400, c=1, s=40043, cout=0
                  30 a=29923, b=60414, c=1, s=40043, cout=0
                  32 a=29923, b=60414, c=1, s=22908, cout=1
                  33 a=29923, b=60414, c=1, s=21210, cout=1
                  35 a=29923, b=60414, c=1, s=17618, cout=1
                  37 a=29923, b=60414, c=1, s=26818, cout=1
                  39 a=29923, b=60414, c=1, s=28898, cout=1
                  40 a=18974, b=64900, c=1, s=28898, cout=1
                  41 a=18974, b=64900, c=1, s=16610, cout=1
                  42 a=18974, b=64900, c=1, s=26725, cout=1
                  43 a=18974, b=64900, c=1, s= 2215, cout=1
                  45 a=18974, b=64900, c=1, s=18851, cout=1
                  47 a=18974, b=64900, c=1, s=19363, cout=1
                  49 a=18974, b=64900, c=1, s=20387, cout=1
                  50 a= 3642, b= 1722, c=0, s=20387, cout=1
                  51 a= 3642, b= 1722, c=0, s=18338, cout=1
                  52 a= 3642, b= 1722, c=0, s=63672, cout=0
                  53 a= 3642, b= 1722, c=0, s= 1268, cout=0
                  55 a= 3642, b= 1722, c=0, s= 5364, cout=0
                  60 a=34114, b=54843, c=0, s= 5364, cout=0
                  62 a=34114, b=54843, c=0, s=20237, cout=1
                  63 a=34114, b=54843, c=0, s=31645, cout=1
                  65 a=34114, b=54843, c=0, s=23485, cout=1
                  67 a=34114, b=54843, c=0, s=23549, cout=1
                  69 a=34114, b=54843, c=0, s=23421, cout=1
                  70 a=15634, b=49945, c=1, s=23421, cout=1
                  71 a=15634, b=49945, c=1, s=23420, cout=1
                  72 a=15634, b=49945, c=1, s=62990, cout=0
                  73 a=15634, b=49945, c=1, s=60456, cout=0
                  75 a=15634, b=49945, c=1, s=55340, cout=0
                  77 a=15634, b=49945, c=1, s=45100, cout=0
                  79 a=15634, b=49945, c=1, s=24620, cout=0
                  80 a=33270, b=19719, c=1, s=24620, cout=1
                  81 a=33270, b=19719, c=1, s=49196, cout=1
                  82 a=33270, b=19719, c=1, s=62166, cout=0
                  83 a=33270, b=19719, c=1, s=54974, cout=0
                  85 a=33270, b=19719, c=1, s=56958, cout=0
                  87 a=33270, b=19719, c=1, s=53246, cout=0
                  89 a=33270, b=19719, c=1, s=52990, cout=0
                  90 a=32910, b=60722, c=0, s=52990, cout=0
                  91 a=32910, b=60722, c=0, s=52991, cout=0
                  92 a=32910, b=60722, c=0, s=28594, cout=1
                  93 a=32910, b=60722, c=0, s=28064, cout=1
                  95 a=32910, b=60722, c=0, s=28032, cout=1
                  97 a=32910, b=60722, c=0, s=28096, cout=1
                 100 a=10070, b=50511, c=1, s=28096, cout=1
                 101 a=10070, b=50511, c=1, s=28097, cout=1
                 102 a=10070, b=50511, c=1, s=57956, cout=0
                 103 a=10070, b=50511, c=1, s=59558, cout=0
                 105 a=10070, b=50511, c=1, s=60582, cout=0
                 110 a= 5154, b= 1662, c=1, s=60582, cout=0
                 112 a= 5154, b= 1662, c=1, s= 7395, cout=0
                 113 a= 5154, b= 1662, c=1, s= 7713, cout=0
                 115 a= 5154, b= 1662, c=1, s= 6817, cout=0
                 120 a=31951, b=58193, c=1, s= 6817, cout=0
                 122 a=31951, b=58193, c=1, s=38755, cout=0
                 123 a=31951, b=58193, c=1, s=20005, cout=0
                 124 a=31951, b=58193, c=1, s=20005, cout=1
                 125 a=31951, b=58193, c=1, s=31785, cout=1
                 127 a=31951, b=58193, c=1, s=22577, cout=1
                 129 a=31951, b=58193, c=1, s=20481, cout=1
                 130 a= 8309, b=18116, c=1, s=20481, cout=1
                 131 a= 8309, b=18116, c=1, s=16417, cout=1
                 132 a= 8309, b=18116, c=1, s=47374, cout=0
                 133 a= 8309, b=18116, c=1, s=60250, cout=0
                 135 a= 8309, b=18116, c=1, s=28538, cout=0
                 137 a= 8309, b=18116, c=1, s=26426, cout=0
                 140 a=38534, b=37091, c=1, s=26426, cout=0
                 142 a=38534, b=37091, c=1, s= 2030, cout=1
                 143 a=38534, b=37091, c=1, s=10082, cout=1
                 145 a=38534, b=37091, c=1, s=10090, cout=1
                 150 a=25539, b=17085, c=0, s=10090, cout=1
                 151 a=25539, b=17085, c=0, s=10091, cout=1
                 152 a=25539, b=17085, c=0, s=  112, cout=0
                 153 a=25539, b=17085, c=0, s=58976, cout=0
                 155 a=25539, b=17085, c=0, s=42560, cout=0
                 157 a=25539, b=17085, c=0, s=42496, cout=0
                 159 a=25539, b=17085, c=0, s=42624, cout=0
                 160 a=33313, b=27551, c=1, s=42624, cout=0
                 161 a=33313, b=27551, c=1, s=42625, cout=0
                 162 a=33313, b=27551, c=1, s=28225, cout=1
                 163 a=33313, b=27551, c=1, s=61121, cout=1
                 164 a=33313, b=27551, c=1, s=61121, cout=0
                 165 a=33313, b=27551, c=1, s=61377, cout=0
                 167 a=33313, b=27551, c=1, s=60865, cout=0
                 170 a=44077, b=43186, c=0, s=60865, cout=0
                 171 a=44077, b=43186, c=0, s=60864, cout=0
                 172 a=44077, b=43186, c=0, s=  225, cout=1
                 173 a=44077, b=43186, c=0, s=23779, cout=1
                 175 a=44077, b=43186, c=0, s=21735, cout=1
                 177 a=44077, b=43186, c=0, s=21743, cout=1
                 179 a=44077, b=43186, c=0, s=21759, cout=1
                 180 a=40436, b= 6456, c=1, s=21759, cout=1
                 181 a=40436, b= 6456, c=1, s=21726, cout=1
                 182 a=40436, b= 6456, c=1, s=54413, cout=0
                 183 a=40436, b= 6456, c=1, s=46637, cout=0
                 185 a=40436, b= 6456, c=1, s=46893, cout=0
                 190 a= 9757, b=15719, c=1, s=46893, cout=0
                 192 a= 9757, b=15719, c=1, s=10395, cout=0
                 193 a= 9757, b=15719, c=1, s=30129, cout=0
                 195 a= 9757, b=15719, c=1, s=18405, cout=0
                 197 a= 9757, b=15719, c=1, s=25413, cout=0
                 199 a= 9757, b=15719, c=1, s=25349, cout=0
                 200 a=10837, b=25789, c=1, s=25349, cout=0
                 201 a=10837, b=25789, c=1, s=25477, cout=0
                 202 a=10837, b=25789, c=1, s=13847, cout=0
                 203 a=10837, b=25789, c=1, s=40723, cout=0
                 205 a=10837, b=25789, c=1, s=36627, cout=0
                 210 a=58799, b= 7296, c=1, s=36627, cout=0
                 212 a=58799, b= 7296, c=1, s=14548, cout=1
                 213 a=58799, b= 7296, c=1, s=29304, cout=1
                 215 a=58799, b= 7296, c=1, s=57888, cout=1
                 216 a=58799, b= 7296, c=1, s=57888, cout=0
                 217 a=58799, b= 7296, c=1, s=49712, cout=0
                 219 a=58799, b= 7296, c=1, s=33328, cout=0
                 220 a=40358, b=15599, c=0, s=33328, cout=0
                 221 a=40358, b=15599, c=0, s=  561, cout=0
                 222 a=40358, b=15599, c=0, s=23127, cout=1
                 223 a=40358, b=15599, c=0, s=55829, cout=1
                 224 a=40358, b=15599, c=0, s=55829, cout=0
                 225 a=40358, b=15599, c=0, s=55957, cout=0
                 230 a=47317, b=  260, c=1, s=55957, cout=0
                 231 a=47317, b=  260, c=1, s=55956, cout=0
                 232 a=47317, b=  260, c=1, s=49676, cout=0
                 233 a=47317, b=  260, c=1, s=51834, cout=0
                 235 a=47317, b=  260, c=1, s=56026, cout=0
                 237 a=47317, b=  260, c=1, s=64474, cout=0
                 239 a=47317, b=  260, c=1, s=47578, cout=0
                 240 a= 1858, b=38794, c=0, s=47578, cout=0
                 241 a= 1858, b=38794, c=0, s=47579, cout=0
                 242 a= 1858, b=38794, c=0, s=37058, cout=0
                 243 a= 1858, b=38794, c=0, s=40668, cout=0
                 245 a= 1858, b=38794, c=0, s=40652, cout=0
                 250 a=36019, b=64333, c=1, s=40652, cout=0
                 251 a=36019, b=64333, c=1, s=40653, cout=0
                 252 a=36019, b=64333, c=1, s=31227, cout=1
                 253 a=36019, b=64333, c=1, s=27637, cout=1
                 255 a=36019, b=64333, c=1, s=20457, cout=1
                 257 a=36019, b=64333, c=1, s= 2001, cout=1
                 259 a=36019, b=64333, c=1, s=34721, cout=1
                 260 a=48255, b=27646, c=1, s=34721, cout=1
                 261 a=48255, b=27646, c=1, s=34625, cout=1
                 262 a=48255, b=27646, c=1, s=10046, cout=1
                 263 a=48255, b=27646, c=1, s= 9854, cout=1
                 265 a=48255, b=27646, c=1, s= 9342, cout=1
                 267 a=48255, b=27646, c=1, s= 8318, cout=1
                 269 a=48255, b=27646, c=1, s=10366, cout=1
                 270 a=21686, b=48075, c=1, s=10366, cout=1
                 272 a=21686, b=48075, c=1, s= 4226, cout=1
                 280 a=45062, b=64863, c=1, s= 4226, cout=1
                 282 a=45062, b=64863, c=1, s=45734, cout=1
                 283 a=45062, b=64863, c=1, s=47078, cout=1
                 285 a=45062, b=64863, c=1, s=48486, cout=1
                 287 a=45062, b=64863, c=1, s=44390, cout=1
                 290 a=64509, b= 4621, c=0, s=44390, cout=1
                 291 a=64509, b= 4621, c=0, s=44391, cout=1
                 292 a=64509, b= 4621, c=0, s= 2510, cout=1
                 293 a=64509, b= 4621, c=0, s= 3466, cout=1
                 295 a=64509, b= 4621, c=0, s= 3338, cout=1
                 297 a=64509, b= 4621, c=0, s= 3082, cout=1
                 299 a=64509, b= 4621, c=0, s= 3594, cout=1
                 300 a= 4679, b=61810, c=0, s= 3594, cout=1
                 302 a= 4679, b=61810, c=0, s= 1231, cout=1
                 303 a= 4679, b=61810, c=0, s= 1489, cout=1
                 305 a= 4679, b=61810, c=0, s= 2041, cout=1
                 307 a= 4679, b=61810, c=0, s=  953, cout=1
                 310 a=19008, b=26961, c=0, s=  953, cout=1
                 312 a=19008, b=26961, c=0, s=50077, cout=0
                 313 a=19008, b=26961, c=0, s=62353, cout=0
                 315 a=19008, b=26961, c=0, s=45969, cout=0
                 320 a=53239, b= 1783, c=1, s=45969, cout=0
                 321 a=53239, b= 1783, c=1, s=45968, cout=0
                 322 a=53239, b= 1783, c=1, s=22913, cout=1
                 323 a=53239, b= 1783, c=1, s=50415, cout=1
