                   0 a=    x, b=    x, c=x, s=    x, cout=x
                  10 a=35652, b= 6310, c=0, s=41962, cout=0
                  20 a=18683, b=51155, c=1, s= 4303, cout=1
                  30 a=29640, b=25104, c=1, s=54745, cout=0
                  40 a=60770, b=25511, c=0, s=20745, cout=1
                  50 a= 1907, b=24730, c=0, s=26637, cout=0
                  60 a=20911, b=28342, c=0, s=49253, cout=0
                  70 a=51514, b= 9187, c=0, s=60701, cout=0
                  80 a= 8959, b=39807, c=0, s=48766, cout=0
                  90 a=59295, b= 8249, c=1, s= 2009, cout=1
                 100 a=42118, b=38756, c=1, s=15339, cout=1
                 110 a=29811, b= 4409, c=1, s=34221, cout=0
                 120 a=36017, b= 3908, c=1, s=39926, cout=0
                 130 a=36567, b= 5437, c=1, s=42005, cout=0
                 140 a=16288, b=42559, c=1, s=58848, cout=0
                 150 a=12393, b=40003, c=1, s=52397, cout=0
                 160 a=63261, b=60914, c=1, s=58640, cout=1
                 170 a=47793, b=42428, c=0, s=24685, cout=1
                 180 a=57913, b=27739, c=1, s=20117, cout=1
                 190 a=63447, b=17035, c=0, s=14946, cout=1
                 200 a=38422, b=59153, c=1, s=32040, cout=1
                 210 a=47005, b=65316, c=0, s=46785, cout=1
                 220 a=61899, b=31334, c=0, s=27697, cout=1
                 230 a=34300, b=44253, c=1, s=13018, cout=1
                 240 a= 8157, b=36893, c=1, s=45051, cout=0
                 250 a= 7526, b=49286, c=0, s=56812, cout=0
                 260 a=31625, b=42547, c=0, s= 8636, cout=1
                 270 a=60418, b= 1156, c=1, s=61575, cout=0
                 280 a=28398, b=54605, c=0, s=17467, cout=1
                 290 a=12537, b=24404, c=1, s=36942, cout=0
                 300 a= 4926, b=62826, c=1, s= 2217, cout=1
                 310 a=12423, b=16184, c=1, s=28608, cout=0
                 320 a=  681, b=54435, c=1, s=55117, cout=0
                 330 a=34735, b=18735, c=0, s=53470, cout=0
                 340 a= 4227, b= 3244, c=0, s= 7471, cout=0
                 350 a=16278, b=10771, c=0, s=27049, cout=0
                 360 a=44684, b=42396, c=0, s=21544, cout=1
                 370 a=64004, b= 9167, c=0, s= 7635, cout=1
                 380 a=32105, b=37565, c=0, s= 4134, cout=1
                 390 a= 4298, b=26455, c=0, s=30753, cout=0
                 400 a=63525, b=31381, c=1, s=29371, cout=1
                 410 a=18258, b=43804, c=1, s=62063, cout=0
                 420 a=38308, b=20837, c=0, s=59145, cout=0
                 430 a=  507, b=55572, c=1, s=56080, cout=0
                 440 a=44384, b=59799, c=1, s=38648, cout=1
                 450 a=59618, b=52429, c=0, s=46511, cout=1
                 460 a=30490, b=27113, c=1, s=57604, cout=0
                 470 a=20262, b= 1934, c=0, s=22196, cout=0
                 480 a= 6727, b= 5927, c=1, s=12655, cout=0
                 490 a=24149, b=10225, c=0, s=34374, cout=0
                 500 a=  439, b=50103, c=1, s=50543, cout=0
                 510 a= 6980, b=44713, c=1, s=51694, cout=0
                 520 a=34169, b=13021, c=0, s=47190, cout=0
                 530 a=45793, b=55417, c=1, s=35675, cout=1
                 540 a=52504, b=29801, c=0, s=16769, cout=1
                 550 a=38812, b=  235, c=0, s=39047, cout=0
                 560 a=59538, b= 2613, c=1, s=62152, cout=0
                 570 a=29013, b=22876, c=1, s=51890, cout=0
                 580 a= 7655, b= 5955, c=1, s=13611, cout=0
                 590 a=  215, b=30104, c=0, s=30319, cout=0
                 600 a=   45, b= 2431, c=1, s= 2477, cout=0
                 610 a=45977, b= 9412, c=1, s=55390, cout=0
                 620 a=22880, b=19933, c=0, s=42813, cout=0
                 630 a=44269, b=42079, c=1, s=20813, cout=1
                 640 a=27582, b=  935, c=0, s=28517, cout=0
